"x","y","sample number","angle","30:23:03:87:17:98#WIFI-RTT","30:23:03:87:17:99#WIFI-RTT","30:23:03:87:17:9a#WIFI-RTT","58:cb:52:d7:b5:5d#WIFI-RTT","58:cb:52:d7:b5:31#WIFI-RTT","30:23:03:87:19:6e#WIFI-RTT","30:23:03:87:19:6d#WIFI-RTT","58:cb:52:d7:b4:d9#WIFI-RTT","30:23:03:87:19:6c#WIFI-RTT","58:cb:52:d7:bb:61#WIFI-RTT","30:23:03:87:17:80#WIFI-RTT","58:cb:52:d7:ad:ac#WIFI-RTT","30:23:03:87:17:81#WIFI-RTT","30:23:03:87:17:82#WIFI-RTT"
"0.0","0.0","85","1.0","33.357","17.538","15.443","-1.76","5.161","9.145","9.538","17.473","-100.0","16.276","-100.0","-100.0","6.506","6.01","-100.0"
"0.0","0.0","86","1.0","-100.0","17.582","15.414","-1.838","5.12","9.159","9.46","17.308","33.045","16.208","22.257","-100.0","6.604","5.912","-100.0"
"0.0","0.0","87","1.0","32.732","17.651","15.443","-1.76","5.036","9.115","9.648","17.308","32.763","16.476","22.573","-100.0","6.485","6.049","-100.0"
"0.0","0.0","88","1.0","-100.0","17.538","15.517","-1.835","5.233","8.969","9.535","17.373","-100.0","16.401","-100.0","-100.0","6.638","5.873","-100.0"
"0.0","0.0","89","1.0","33.032","17.582","15.443","-1.835","5.233","9.027","9.527","17.598","33.12","16.486","22.807","-100.0","6.601","5.922","-100.0"
"0.0","0.0","90","1.0","33.045","17.666","15.341","-1.948","5.201","9.174","9.535","17.304","32.998","16.389","22.894","-100.0","6.569","6.01","-100.0"
"0.0","0.0","91","1.0","32.895","17.46","15.399","-1.835","5.042","9.013","9.494","17.636","-100.0","16.22","22.419","-100.0","6.56","5.971","-100.0"
"0.0","0.0","92","1.0","-100.0","17.579","15.458","-1.76","5.192","9.32","9.485","17.261","-100.0","16.095","22.563","-100.0","6.491","6.088","-100.0"
"0.0","0.0","93","1.0","32.882","17.535","15.443","-1.798","5.239","9.1","9.535","17.451","34.057","16.392","22.732","-100.0","6.479","5.966","-100.0"
"0.0","0.0","94","1.0","32.895","17.738","15.458","-1.798","5.151","9.101","9.573","17.551","32.998","16.295","26.313","-100.0","6.488","5.98","-100.0"
"0.0","0.0","95","1.0","-100.0","17.657","15.355","-1.76","5.201","9.027","9.573","17.43","33.007","16.283","-100.0","-100.0","6.526","6.112","-100.0"
"0.0","0.0","96","1.0","32.582","17.632","15.458","-1.835","5.158","8.998","9.504","17.376","32.763","16.204","22.569","-100.0","6.366","5.834","-100.0"
"0.0","0.0","97","1.0","32.569","17.544","15.385","-1.713","5.192","9.13","9.535","17.448","33.232","16.495","22.582","-100.0","6.441","5.966","-100.0"
"0.0","0.0","98","1.0","-100.0","17.613","15.429","-1.829","-100.0","9.086","9.46","17.511","33.241","16.492","-100.0","-100.0","6.448","6.049","-100.0"
"0.0","0.0","99","1.0","33.195","17.663","15.722","-1.76","5.151","9.203","9.463","17.411","32.538","16.139","22.569","-100.0","6.535","5.795","-100.0"
"2.0","4.8","100","0.0","-100.0","13.204","11.224","3.248","5.036","5.326","4.99","14.835","-100.0","12.267","-100.0","-100.0","2.073","-100.0","-100.0"
"2.0","4.8","101","0.0","-100.0","12.919","11.312","2.545","5.164","5.385","5.273","15.043","-100.0","12.295","18.669","-100.0","-100.0","4.018","-100.0"
