batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,3,-100,6.801000000000,6.088000000000,-100,1.294000000000,4.623000000000,-100,11.141000000000,12.162000000000,-100,-100,-100,5.589000000000,18.870000000000,16.720000000000,-1.873000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,4,23.507000000000,6.838000000000,6.225000000000,15.776000000000,1.291000000000,4.779000000000,27.026000000000,11.216000000000,13.236000000000,-100,-100,-100,5.745000000000,18.867000000000,16.679000000000,-1.829000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,5,23.520000000000,6.948000000000,6.166000000000,16.479000000000,1.532000000000,4.955000000000,26.323000000000,11.266000000000,13.686000000000,-100,-100,-100,6.180000000000,18.864000000000,16.767000000000,-1.610000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,6,-100,6.848000000000,6.185000000000,16.245000000000,1.563000000000,5.053000000000,26.435000000000,10.988000000000,13.803000000000,-100,15.785000000000,-100,6.214000000000,18.904000000000,16.792000000000,-1.826000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,7,23.670000000000,6.882000000000,6.205000000000,16.357000000000,1.607000000000,4.760000000000,26.801000000000,11.041000000000,14.135000000000,-100,-100,-100,6.064000000000,18.826000000000,16.764000000000,-1.620000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,8,24.682000000000,6.804000000000,6.166000000000,16.245000000000,1.594000000000,4.720000000000,26.679000000000,10.823000000000,13.817000000000,-100,-100,-100,6.180000000000,18.826000000000,16.720000000000,-1.685000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,9,23.982000000000,6.829000000000,6.244000000000,16.245000000000,1.576000000000,5.209000000000,26.557000000000,11.188000000000,12.924000000000,-100,-100,-100,6.176000000000,18.901000000000,16.761000000000,-1.707000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,10,24.132000000000,6.807000000000,5.990000000000,16.357000000000,1.563000000000,4.779000000000,-100,10.982000000000,12.279000000000,-100,-100,-100,6.301000000000,18.907000000000,16.726000000000,-1.807000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,11,24.326000000000,6.879000000000,6.166000000000,16.479000000000,1.451000000000,4.681000000000,27.138000000000,10.966000000000,13.197000000000,-100,16.020000000000,-100,6.180000000000,18.864000000000,16.686000000000,-1.948000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,12,24.132000000000,6.757000000000,6.146000000000,16.320000000000,1.454000000000,5.053000000000,27.373000000000,11.041000000000,13.876000000000,-100,-100,-100,6.298000000000,18.864000000000,16.792000000000,-1.648000000000
